a,b,c,d
403.0666504,-0.134811401,249.6546326,1.747123718
-387.6730347,-0.816116333,-243.6465607,1.109092712
-110.8965225,0,-21.21498871,0.95803833
401.6641541,-0.134483337,251.4765015,1.744415283
-385.9939575,-0.961166382,-242.5716095,-0.961174011
405.3753662,0.959602356,243.5406799,-2.878799438
-387.8309326,-0.68586731,-237.6251373,-0.63609314
126.8742676,0,20.18453979,0
400.4415283,0,254.0430908,-0.953361511
-120.1460876,0,-31.71856689,0
-382.124054,-1.785865784,-242.9757538,1.122741699
398.1244202,0.80430603,249.1432495,-3.046646118
-384.6680298,-0.822227478,-239.5378265,-0.79725647
124.9519196,0,25.9515686,0.95803833
1322.799561,841.6975098,576.1744385,65.04029083
-129.3476563,-5.24432373,-24.43566895,6.293655396
-952.1495972,-938.1519165,-194.1435547,-39.93008423
-379.7322388,-1.797149658,-238.0124512,3.06085968
128.1452637,-0.135894775,22.24206543,1.767448425
397.649353,0.828422546,243.944519,-1.123916626
-382.6761475,-0.830917358,-245.5364838,1.127868652
-118.0327911,-0.962745667,-28.0569725,-0.962738037
389.0099182,1.641677856,246.0848999,-2.234115601
-367.9713135,0,-241.8553467,0
391.0708313,-0.134811401,245.712616,-2.063232422
-380.9127197,0.135803223,-238.0221558,2.073722839
126.8099365,0.822227478,25.36199951,0.79725647
1356.056885,878.0341187,570.1573486,54.69717407
-125.9476318,0,-29.59790039,0
131.3780518,0,27.34460449,7.689346313
-1115.870361,-1099.19165,-205.6973267,-51.68740845
-382.3560181,0.13747406,-241.8074188,2.091400146
-119.8868484,-0.967483521,-26.3997345,2.902442932
1471.372803,1001.479858,557.1296387,60.14556885
126.3883057,0.044555664,34.12060547,6.976959229
-119.9918213,0,-30.48974609,0
131.3596191,-0.041992188,25.48773193,0.704528809
-127.9395752,-2.940917969,-25.82299805,7.842376709
135.0979004,4.810058594,28.80761719,-0.257537842
-124.5428467,-0.966674805,-33.60681152,-7.541290283
362.6057129,-1.829223633,305.8730469,7.287918091
-323.9353027,-0.973876953,-281.1973877,0
-0.981933594,163.8774414,2.945739746,9.754608154
318.7357178,2.931274414,410.7919312,-8.793624878
-317.5355225,1.214111328,-414.7224731,-8.542816162
4.782470703,-162.4609375,-1.961791992,8.808135986
-95.40332031,-1.960571289,-7.868286133,8.822662354
125.6853027,-2.936035156,30.43939209,-0.978683472
-119.7937012,1.148193359,-32.40319824,0.260452271
70.06274414,-5.263061523,42.43237305,0.240951538
-77.09790039,-0.973876953,-40.52581787,7.790863037
174.4926758,-1.938842773,99.99017334,-0.247116089
-181.1297607,32.98962402,-109.7531738,-14.0380249
103.7590332,-51.26940918,70.58337402,-31.75221252
-72.26037598,2.99987793,-44.0927124,-8.894256592
-114.4987793,-1.934936523,-39.39648438,-0.967475891
-290.9412842,-4.877319336,-117.0440674,8.779151917
129.8521729,1.934936523,34.23242188,-9.674819946
100.8973389,-5.700927734,35.32989502,9.489021301
114.0203857,-10.41235352,75.75891113,-1.368751526
-127.7385254,-1.053588867,-87.59820557,-9.456710815
-105.5875244,-2.916748047,-36.51153564,0
70.06274414,0.136474609,123.3498535,-0.185112
-110.5214844,-0.120239258,-44.40594482,0.200584412
111.6791992,-1.109985352,48.64892578,0.184661865
-276.1618652,0.970581055,-107.9863892,-8.735954285
-117.6356201,-0.970703125,-27.44830322,8.735961914
131.2442627,1.15637207,28.61712646,18.36495209
0.993408203,168.6733398,2.980102539,8.022155762
-2.287353516,180.2330322,-1.939025879,10.38623047
0,-178.7329102,-1.954162598,-9.065002441
0,180.6951904,2.931213379,9.065002441
2.610839844,-125.4777832,1.016052246,-15.68473816
-2.931274414,127.8496094,-2.931213379,7.109268188
-1.299072266,-126.458252,2.96697998,-16.66503906
1.278076172,126.8765869,-0.034179688,16.72016907
2764.851563,2255.11792,523.0664063,104.0405273
-112.6240234,-6.263427734,-30.89685059,12.31234741
-2428.636963,-2399.536621,16.65612793,-139.1381073
2492.441406,2479.626709,-6.738647461,151.1138916
-2424.714844,-2396.491943,8.76171875,-152.4237671
2478.239014,2464.713623,-7.411865234,153.8919373
-2412.057129,-2397.838135,-3.886962891,-139.1477966
2469.541748,2450.047852,-5.649902344,150.8866272
-2422.043457,-2396.901367,11.9708252,-130.1761932
2458.634766,2428.86499,-7.65637207,130.6852722
-2413.952148,-2406.002441,0.914306641,-139.6496582
2479.29834,2456.375488,-12.75537109,141.3929138
-2427.777344,-2398.731445,14.76403809,-148.402832
2455.647705,2447.4021,-2.702636719,141.3881531
-2435.797363,-2398.209473,1.997924805,-151.668396
2487.582764,2471.215088,-0.730957031,132.9229279
-2423.842529,-2393.075195,7.735473633,-142.6937256
2462.740234,2436.181641,-7.689453125,152.4130554
-2416.930176,-2399.644043,1.778564453,-130.9309082
2464.856445,2439.445801,-7.729125977,144.3924255
-2416.239014,-2398.44873,2.176635742,-130.1281128
2466.076904,2452.327637,-3.782470703,141.388092
-2429.965088,-2398.274658,12.76086426,-139.4194946
2476.915527,2434.900635,-7.729125977,152.1721191
-2.881347656,-168.0559082,-0.199584961,6.839477539
-0.9296875,101.8979492,0.793212891,17.07592773
-5.979980469,-125.0649414,-0.996704102,-18.56433105
2.985351563,172.0405273,0,19.97705078
-2428.046631,-2394.09668,7.944946289,-150.2106323
2483.655273,2466.095215,-7.722412109,145.3940735
-2425.720947,-2402.276367,3.847290039,-152.1713867
0.03125,156.2764893,1.133789063,17.47190857
2471.088379,2494.603027,-10.4954834,146.8083801
-2412.57373,-2404.415527,-5.914306641,-143.8674316
2496.641113,2483.529053,-5.686889648,114.4543152
-2405.82959,-2404.796875,2.756958008,-140.3357544
2466.881104,2445.580811,-11.61401367,161.6903381
-2408.607178,-2392.520508,5.555053711,-149.2745972
2488.798828,2481.783691,-3.726318359,149.9461975
-2415.728027,-2399.311768,5.760131836,-149.5565796
2490.090332,2477.106445,-5.672729492,152.4580383
-2411.607422,-2396.96582,5.827514648,-160.4060059
2484.806152,2452.447998,-10.55432129,161.8905945
-2413.672852,-2396.010986,5.829711914,-159.1767578
2474.12207,2454.589111,-1.991699219,138.8103638
-2416.541504,-2393.336914,-2.093139648,-132.9290161
2472.821289,2453.95459,-6.707885742,148.4675293
-2421.274414,-2382.730225,7.83605957,-123.1853485
2499.817871,2479.324707,-8.615112305,139.7681885
-2421.431641,-2394.915039,3.853393555,-149.2734985
2463.246826,2431.925049,-9.616821289,151.2244263
-2415.637207,-2394.807617,-1.25769043,-158.7020264
2467.261719,2443.54541,-3.054199219,138.5035095
-2422.663086,-2400.501465,5.69934082,-160.2550049
2509.378174,2500.535889,-4.872680664,141.671051
3.986816406,-197.623291,-2.989990234,-7.341461182
-2421.689453,-2396.980957,2.745849609,-135.6269531
2460.506348,2436.794434,-12.72583008,133.5542603
-2434.62793,-2393.927734,8.924316406,-131.6253662
2479.487061,2441.832031,-6.944213867,136.3432922
-2291.172852,-2395.00293,36.53552246,-135.4023438
2489.476074,2469.346191,-9.465087891,143.3165588
-2414.007324,-2392.04834,-1.320068359,-149.37323
2541.312012,2460.470703,-19.5177002,133.3443909
-12.54492188,-160.7685547,3.823608398,-6.862060547
-2413.001953,-2391.753418,4.58581543,-118.4821777
2475.74707,2449.191895,-14.49645996,140.9696655
-2426.624023,-2395.290527,10.77661133,-150.9682617
2461.870361,2400.389648,-8.623413086,113.5947571
-2418.236328,-2396.279053,-3.231323242,-139.0123138
2457.677979,2441.977539,-6.60546875,146.9081879
-2422.99292,-2403.321533,4.682373047,-136.7873535
2491.50293,2466.351318,-16.36804199,151.6389465
-2419.163086,-2394.169434,1.615722656,-147.7402344
2488.428955,2441.154297,-14.41149902,149.7525024
-2417.998535,-2393.052979,1.596069336,-147.975769
2479.205078,2473.728271,-6.3828125,163.8134155
-2422.858398,-2395.202148,0.576782227,-143.0294189
2476.614258,2454.830566,-4.612304688,150.6328125
-2417.52832,-2393.509766,5.364868164,-144.4816284
2505.778564,2452.805176,-15.24926758,159.5855408
-2432.850098,-2389.77002,16.44592285,-139.1264343
2492.444336,2459.447754,-16.09155273,137.1346283
-2423.615723,-2395.282227,4.42956543,-135.0335083
2455.074707,2432.887207,-6.333496094,149.5983887
-2426.211914,-2391.460205,13.19128418,-125.9818115
2483.091309,2447.86377,-14.25622559,146.1900787
-2426.001221,-2394.89209,10.52355957,-144.7939148
2505.159668,2495.924072,-13.48071289,162.0562134
-2425.505859,-2389.824951,11.35180664,-131.1221313
2492.959473,2458.862793,-13.32995605,133.2829895
-2424.653564,-2390.890625,14.30529785,-130.1593475
2494.100586,2475.95752,-9.11315918,126.4428406
-2423.696289,-2392.808105,2.474609375,-130.1593628
2486.625977,2460.635742,-8.247436523,133.0634766
-2423.268066,-2389.978516,12.18151855,-109.6086731
2501.91748,2471.954346,-13.32177734,134.1564636
-2427.470703,-2395.032227,7.314819336,-135.2976074
2456.225342,2435.158203,-7.328613281,123.624115
-2412.744629,-2387.468262,-1.482421875,-143.2800903
-272.185791,1.493041992,-510.8024902,0.413612366
-121.6074219,0.959594727,-29.33337402,7.676803589
126.8099365,0,35.11663818,0
-121.3192139,-0.263305664,-29.18890381,0.214355469
128.1759033,-0.305786133,31.22717285,0.202270508
-879.6332397,-863.524353,-189.0679932,-26.29310608
855.8295898,781.2105103,339.2163086,63.24072266
-120.1483154,-0.956481934,-30.21716309,6.6953125
-862.4992676,-849.0874634,-204.8136597,-34.81730652
133.0010376,-0.961166382,24.82827759,-3.844673157
845.7695313,769.0492554,330.8462524,58.85121155
-121.4934082,1.919250488,-30.07568359,-6.717208862
-860.5213013,-845.1854248,-198.6932983,-35.61123657
132.6644897,-0.95803833,27.47720337,0.958030701
841.3601074,766.8336182,340.1884155,66.42883301
-121.90271,-2.225158691,-32.89440918,-6.461746216
-853.2400513,-834.5958862,-200.0160217,-36.54974365
144.2205811,0,26.51605225,-3.801078796
849.6473389,772.0184937,338.6729126,62.08480835
-865.796936,-852.5883179,-202.0411682,-36.27212524
-122.4287109,0.200462341,-28.69424438,0.160369873
834.1142578,752.3378296,341.4146118,72.64988708
124.9520264,-3.471069336,26.91271973,6.432388306
-851.8352051,-833.0401001,-196.611908,-43.94267273
-121.2745056,0.19997406,-29.60244751,0.158447266
823.3341064,745.619751,346.7668457,71.74072266
-855.2663574,-840.0163574,-204.1696472,-35.42553711
134.8172913,0,19.80181885,0
836.7127686,750.7028809,333.8540039,66.10083008
-118.2183838,0.643493652,-28.88885498,0.212295532
-885.5460205,-865.5112915,-190.082489,-39.60060883
126.6672363,-1.154808044,34.54559326,0.79221344
114.5662231,-0.20249176,-8.664672852,1.744415283
116.1116333,0.951812744,0.959625244,-1.903633118
-116.1116333,-0.951812744,0.959594727,1.903633118
112.3150635,0,7.282104492,0
-117.1130981,-1.900543213,0.394714355,0.950271606
0,107.8610992,0,3.985023499
117.4893799,0.944122314,-1.344421387,0
-115.5826416,-0.459655762,-1.518798828,-0.181724548
116.546936,0.950256348,0.568511963,0
-116.3104248,0.462615967,0,-2.667304993
-1.003723145,165.0784302,1.34475708,-0.948730469
0.95489502,-164.3964691,-1.909820557,-1.900535583
113.0100708,0.422912598,5.795410156,-3.071304321
-117.5106812,-1.900543213,2.333129883,1.900543213
115.1520386,1.891326904,0,-6.619567871
-116.1116333,-0.945648193,0,-2.836975098
-1.903625488,83.62362671,3.807281494,2.850799561
-1.012695313,-90.13134766,1.365692139,-7.030143738
-0.961181641,86.81059265,1.922332764,-0.762138367
220.7530518,-0.962646484,417.0188293,-0.383827209
-174.7595215,1.432556152,-406.4773254,0.191680908
0,163.9257507,-1.925476074,4.942550659
-4.837402344,-159.8552246,0.967468262,-3.979499817
107.5667725,0.948730469,-1.938140869,-4.743629456
-116.2883911,-0.948730469,-1.938140869,0
121.90271,-0.461486816,0.967498779,-0.183059692
-118.4274902,-1.894378662,2.373931885,1.894371033
117.4544678,0.950286865,0,0
-118.4171753,-0.488098145,2.888244629,0.17930603
115.7334595,1.885192871,0.956481934,-0.942596436
-0.95489502,392.2554016,1.909851074,184.3498535
3.786682129,-353.1706238,-1.475280762,-147.8810883
-3.844909668,299.2705994,-0.521911621,161.4520111
2.89465332,-280.4369507,-0.436096191,-158.6348877
163.5375366,0,0.087677002,3.770385742
118.5421143,0.944122314,-2.334777832,-0.944122314
-109.9649658,0.445922852,-2.427398682,-1.637802124
115.3569946,-2.336761475,0,0.696121216
-116.8311157,0.945678711,-2.433288574,0.945663452
-173.5552368,-0.44543457,4.23840332,-0.249526978
-1.946838379,286.0328979,0.419281006,-1.644851685
0.989440918,-271.4061584,-1.372375488,14.85398865
-0.032287598,277.0146484,1.375732422,-10.84329224
3.819641113,-272.3487549,-0.95489502,16.73918152
940.6523438,854.133667,331.1030884,-20.48193359
-971.7449341,-955.4230957,-202.338623,31.04733276
2.181152344,-82.4551239,-0.819122314,-0.225524902
-1.033752441,75.31573486,-3.423309326,3.813461304
0.967468262,-113.7013245,0,-4.050537109
0,128.9350281,2.902435303,7.859344482
923.5055542,841.9304199,333.3071899,-11.73958588
362.7008057,-0.081787109,308.34552,0.747817993
-318.9470215,1.038452148,-288.7393188,-9.372741699
3.84387207,-98.83874512,1.000976563,-14.39400482
-1.88659668,89.24279785,1.944763184,-4.79800415
-2.133422852,-79.20361328,5.908935547,-4.829483032
-0.98034668,85.96484375,5.881774902,13.52256775
375.0773926,0.843994141,421.5740356,10.37786865
-313.5220947,0,-424.5213623,0
-1021.586426,-1008.35437,-196.4248962,38.68652344
118.4202881,0.961151123,0,-1.922332764
982.6203613,898.1075439,324.5849609,-16.78207397
124.2924805,10.55554199,-5.872070313,9.596000671
-97.86804199,0.959594727,0.97869873,-9.596000671
145.6011963,-4.074462891,-35.96325684,-0.21647644
-158.7387695,2.21472168,-0.973876953,0.220687866
115.5872803,-0.967529297,5.917724609,0
-108.9925537,0,0,-18.44256592
139.270874,2.450195313,116.0465698,0.442001343
-1057.246582,-1046.518799,-193.2950439,28.41793823
-124.4976196,-0.521606445,-140.1823425,2.196289063
118.6158447,0.972259521,-2.940887451,-1.944519043
-117.5105591,0,-0.612426758,-1.941314697
137.4682007,1.494995117,117.829895,-2.195678711
-125.9827881,-1.947723389,-140.2747192,2.921569824
977.4776001,0.152282715,111.4084167,-1.95401001
103.3101807,2.454620361,8.940307617,0.724517822
-115.0723877,-0.969085693,-2.700469971,0
1.626953125,-99.65063477,4.680480957,-1.934951782
-3.608886719,88.5695343,-4.67388916,1.69102478
116.8287354,-1.474731445,-3.960296631,1.647354126
-117.6500244,-1.471954346,3.25012207,0.25440979
1023.627441,962.4840088,302.9863892,-15.04925537
114.46875,0.970703125,3.94720459,10.67727661
-119.402832,0.284912109,1.973571777,-0.748840332
-802.0092773,3.602294922,13.01068115,-9.270889282
184.6002197,2.575927734,38.29467773,-0.242156982
1561.55957,-1.058227539,288.9214478,10.00057983
-177.9902344,-3.882568359,-12.71789551,0
-1530.139771,-0.844238281,-217.1437988,-9.010879517
119.7596436,0.970703125,-1.707336426,-9.706619263
-111.5083008,5.159667969,0.986816406,0.222854614
-129.6812744,0.972290039,-134.7866821,0
106.645874,-10.27770996,134.9896851,-10.10404968
-126.0418701,1.319702148,-132.8813477,0.223831177
107.4775391,-4.201782227,126.0418701,-0.223831177
-1137.330566,-1120.37207,-202.1124878,14.92407227
-129.9708862,0,-141.1249084,0
1057.564087,970.7624512,336.1574097,-22.54162598
119.4283447,1.295288086,3.975341797,0.222808838
-113.2941895,1.290527344,-2.955505371,-9.42036438
363.3786621,4.491943359,303.0233765,-0.24256897
-329.9190674,-1.571899414,-274.3145142,0.226608276
378.987915,2.129394531,410.5946655,-0.487716675
-320.6088867,-3.490234375,-422.1901245,-9.463058472
-1180.27002,-1159.124512,-200.4002686,17.81359863
-0.986816406,-128.2644806,0,-10.0166626
-0.951477051,-70.14076233,3.404846191,14.31477356
1131.764282,1042.206909,327.2307129,-16.97372437
213.2717285,0,397.0427246,9.770683289
-203.2617188,-0.977050781,-398.0310059,-10.74775696
0.134765625,-71.69750977,1.025085449,-4.137130737
3.993286133,182.9383545,0.998352051,18.68725586
0,75.35839844,-2.975158691,3.914718628
-7.986694336,-76.33093262,-0.998352051,-14.00985718
533.1638184,2.694824219,-22.01837158,-0.480880737
339.8811035,55.14904785,349.8861694,2.69430542
-204.0056152,15.63305664,-365.7686157,0.977081299
-148.2578125,1.960571289,-0.994995117,-20.58621216
113.4321289,0,0.994995117,0
-114.802002,-0.98034668,3.003723145,0
-615.8243408,4.984985352,-5.938720703,-10.34541321
231.2640381,-54.69604492,57.05633545,-13.0269165
-9.993530273,143.8660889,-3.012756348,16.63757324
0.993286133,-90.71142578,0,-13.97712708
0,75.23425293,-2.980102539,3.908279419
-0.900512695,-105.4128418,3.018737793,-25.61434937
0,115.1401367,7,5.196716309
-1.005004883,-96.70629883,3.015075684,-5.920791626
-8.040161133,109.2700195,-2.010070801,5.23097229
253.1467285,3.036010742,543.6971436,-0.288299561
2507.504639,2442.844727,-5.341918945,126.2790222
-2416.529053,-2384.251953,-5.659179688,-146.036377
2468.204102,2431.943115,-11.68554688,147.5335236
-2415.689209,-2395.134766,-1.602905273,-146.0586548
-255.1219482,-4.147949219,-541.4194336,0.268264771
241.6081543,-3.330810547,545.6314697,-11.62174988
2523.668701,2486.176758,-10.6048584,139.1903076
-9.782226563,-95.86010742,6.192260742,-3.463409424
3.336425781,112.7192383,-10.40124512,31.77957153
-2425.752686,-2400.206787,7.499633789,-145.7998657
2483.180908,2450.565918,-18.88562012,131.2674713
-2429.101563,-2400.998535,2.776367188,-160.2013855
2475.050293,2465.465332,-4.503662109,138.6921082
-2429.343506,-2404.052246,6.627929688,-149.1156158
-2.994873047,-80.56408691,-4.991699219,-14.43786621
-4.620361328,88.22668457,0.105712891,14.70445251
2463.163818,2379.80957,-9.467529297,127.5536346
-2426.193359,-2393.18457,2.505737305,-134.2171021
-1.33203125,-193.0170898,0.896240234,0.724655151
2507.351074,2472.073242,-7.701904297,141.3681946
-2420.246338,-2394.766602,-2.33996582,-150.5313721
365.3977051,-0.481567383,287.755249,9.521484375
-317.4577637,2.440429688,-272.7017822,10.98088074
314.9326172,-0.471557617,398.7814941,-0.247344971
-314.6223145,2.411254883,-400.6988525,0.247344971
-1.314453125,-99.51782227,-2.104614258,-4.412811279
-3.691162109,90.86743164,-1.904052734,14.65602112
-1,-92.66870117,-3,-4.877304077
0,90.20947266,2,-4.644180298
2512.975098,2493.615479,-7.506225586,141.8696289
-2410.426514,-2392.515869,8.401733398,-150.7658997
2511.913574,2483.883057,-6.479125977,141.1408691
-2418.80542,-2396.249512,6.451416016,-147.71875
0.531494141,-105.7241211,-1.079711914,-15.33534241
2.975097656,105.1765137,0.991699219,5.843139648
160.4887695,-0.450317383,3.888549805,0.725891113
-250.6881104,-0.541137695,-521.7424927,9.968933105
-154.8012695,-0.977050781,-3.935852051,0
2.984985352,-102.5921631,0.995056152,-4.8853302
2.985107422,104.5463867,-1.99005127,14.65602112
0.996704102,-89.05993652,0,-4.8934021
2.989990234,94.93188477,3.986694336,4.8934021
-0.990112305,-90.16760254,5.940490723,-23.65704346
3.960327148,90.86743164,-2.970214844,14.65602112
-137.3924561,4.315795898,-38.5489502,0.229888916
3.986694336,-87.24633789,0,-4.901473999
2.990112305,83.32507324,3.986694336,3.921188354
-2.989990234,-93.53869629,0,-14.93604279
-0.996704102,91.3182373,2.99005127,4.909576416
146.6469727,2.365356445,38.91558838,0.247192383
249.4813232,-31.11181641,538.5115967,-2.414505005
2491.916992,2471.569824,-21.19238281,128.1044922
3.520996094,-94.26391602,1.922363281,-31.42129517
-2,95.24560547,8,3.927642822
-2411.46582,-2385.121338,5.34375,-147.213623
2513.136963,2485.03125,-11.28320313,151.1347961
-2417.498779,-2389.982666,10.31884766,-137.4910583
-0.479492188,-91.16003418,-2.913085938,-15.07078552
-0.492675781,84.72558594,-3.900024414,13.63400269
2460.073486,2438.657471,-12.3458252,150.1676941
-2419.394775,-2390.871094,-0.508056641,-158.4245605
0,-89.14074707,1.993286133,-4.130126953
1.989990234,99.49694824,0.994995117,4.877304077
2486.337402,2448.096191,-7.661743164,127.1531982
-2426.348633,-2395.052246,15.57312012,-144.8650818
-1.444091797,-89.25012207,-0.899291992,-13.3924408
-4.428710938,84.72558594,-2.897827148,3.895431519
-0.998291016,-103.4089355,1.996704102,-5.070854187
-0.998291016,102.2550049,1.996704102,4.869293213
2500.069824,2469.862549,-10.43945313,161.8440552
-2421.366699,-2499.213867,0.633178711,-150.7576904
159.2570801,-5.019287109,4.805053711,9.538101196
2501.044434,2456.03125,-7.712036133,172.4521179
-2417.733398,-2388.540527,8.641601563,-133.746582
-161.2001953,-1.067382813,-0.811767578,-0.212768555
2462.187256,2428.671143,-6.406738281,147.6048584
-2415.414795,-2387.534668,0.553588867,-145.8390198
2501.11084,2464.571289,-13.43017578,149.498291
-2427.340332,-2385.420654,15.58007813,-136.8764038
2510.499512,2473.466064,-5.528686523,149.7457581
-2424.187012,-2387.268311,3.563598633,-132.6687012
120.5721436,4.005004883,-4.404663086,-10.14455414
-117.394043,1.950805664,3.114013672,0
117.2171631,0.970703125,-1.986694336,10.67727661
-109.6834717,-0.969116211,0.093139648,-20.3504715
-255.8830566,1.03515625,-521.7161255,0.195800781
1565.678467,1.815185547,313.5947266,-0.588417053
-1537.873779,-1.79296875,-248.6969604,-9.135612488
-0.989990234,104.831543,0,14.55992126
-130.2574463,0.244262695,-34.53796387,0.203765869
358.2631836,-2.383422852,306.3621826,-0.438873291
-322.8365479,2.173583984,-267.5907593,9.974861145
-4.677612305,431.0167236,-0.953674316,203.7988739
5.661010742,-386.744751,1.940490723,-171.932785
0.259765625,287.4622803,-0.953674316,171.3761597
3.947265625,-275.0009766,0.986755371,-167.7141418
-1.973632813,175.6569824,0,150.9647827
-1.720214844,79.53515625,2.002563477,33.38513184
314.3244629,76.84472656,407.8500977,23.05291748
-314.0640869,-48.22851563,-407.2003174,-4.37512207
4.417358398,-294.8994141,-1.056884766,-165.2193604
140.4870605,2.921630859,36.4263916,0
162.2176514,1.928588867,1.028198242,0
-145.2999268,-2.897705078,-0.98840332,9.658981323
-4.942138672,163.5999756,0,-13.48395538
119.5837402,1.950927734,-1.953491211,0
-115.0393066,0,3.96685791,10.69483948
118.4031982,-0.967407227,-4.900085449,-10.64230347
-103.6138916,0,-2.960388184,0
166.8446045,0,-0.949584961,0
-158.6638184,0.967407227,-1.008422852,10.64228821
1.980102539,375.1634521,3.960266113,187.5526123
6.733276367,-357.9215088,-1.968261719,-172.5932617
-9.323730469,235.3605957,0.004943848,156.5736084
1.775024414,-231.9327393,0.991271973,-161.6452942
0.135864258,132.0098877,1.958496094,45.62109375
2762.8396,2429.810547,540.8010254,122.1779175
-2.995117188,-108.2260742,0,8.310119629
5.700195313,80.96313477,-5.223876953,2.926391602
4.983398438,-134.5893555,0,-5.389801025
-2412.445801,-2394.624268,4.460449219,-137.5262146
2477.130859,2444.527344,-14.32019043,122.040329
-2419.340576,-2359.141602,5.383056641,-148.7852173
2500.811279,2457.164307,-12.52612305,139.2528381
-2423.447266,-2394.120117,3.542480469,-128.5435181
-134.9432373,1.94140625,-29.60778809,0
-253.6907959,26.68896484,-537.5367432,9.984298706
2740.45459,2432.503418,529.9891357,103.5160217
-2406.171387,-2395.696045,11.53112793,-130.8218994
213.2424316,-0.584716797,421.2011719,8.452758789
-191.473999,2.529296875,-405.3337402,8.076477051
213.887207,-0.594360352,405.6586914,-0.298416138
-188.2075195,0.591308594,-400.6951904,0.298416138
2504.579102,2482.130859,-8.671142578,138.7446594
-2420.019043,-2398.018311,2.728881836,-130.8296509
2468.702148,2437.818848,-12.59692383,141.2806396
-2418.048584,-2396.839111,8.672607422,-122.855896
2491.701172,2463.834961,-19.54394531,117.9043579
-2428.060791,-2392.875732,10.95373535,-127.0454102
2481.342285,2412.939453,-10.35754395,155.4391022
-2425.13916,-2396.906494,10.60656738,-122.5126953
2490.547119,2436.269043,-12.55102539,129.5883789
-2415.999512,-2396.518066,4.635131836,-129.8306885
-294.1800537,30.34448242,-526.9632568,9.929855347
248.3791504,-32.34851074,531.921875,-10.90115356
134.909668,29.6385498,37.29382324,1.679290771
2476.475586,2453.348145,-6.407104492,122.3296204
-2421.547852,-2395.76416,12.22814941,-141.7590332
2517.652832,2513.595703,-11.24951172,132.7680969
-2423.587891,-2396.883545,6.387939453,-124.1369019
2491.895508,2466.191406,-11.03881836,139.7816162
-2412.201172,-2393.316162,1.207885742,-149.2423706
-1.947753906,-127.4187012,-0.973876953,-45.02767181
1.803466797,130.9328613,-0.927978516,25.99401855
-255.9952393,-3.378417969,-526.8771362,-10.34486389
173.3807373,7.739868164,5.905273438,-9.674819946
-147.5373535,-1.931884766,-4.885375977,0
0.713134766,-166.1343994,1.042785645,7.727172852
124.0220947,-130.2800293,0.059265137,-34.94140625
-116.2006836,0.964233398,2.871948242,9.643180847
106.4901123,-21.69091797,95.83636475,-10.85092926
-120.3426514,0,-74.13110352,20.02064514
157.4508057,3.962524414,85.39111328,-9.625999451
74.25720215,1.938110352,33.22033691,0
173.4978027,-13.36218262,33.32727051,9.493049622
-179.3553467,0.965942383,-27.49688721,-9.658981323
74.046875,11.97790527,20.74060059,0.672485352
-71.44372559,0,-39.1472168,-9.658981323
-78.99743652,-6.55090332,-36.32879639,10.37293243
72.26000977,-1.763183594,38.31317139,11.36775208
73.42956543,-0.796142578,39.90386963,-10.70269012
-177.1411133,47.02038574,-114.5056152,-9.596008301
82.07373047,3.83215332,122.133606,0
-90.45568848,-1.754882813,-38.87719727,-0.194641113
-146.3095703,0,-51.38977051,0
-20.38391113,165.5129395,-6.794616699,1.162521362
-150.6702881,2.915649414,-51.5826416,0.220626831
-0.400024414,132.9498291,-0.993225098,38.25897217
68.0579834,-132.678833,-28.19549561,-31.22427368
